RowID,CaseNumber,CrimeDateTime,Year,Month,Hour,Day,CrimeCode,Description,Inside_Outside,Weapon,District,Neighborhood,PremiseType,Latitude,Longitude,Pct_Black,Pct_White,Median_Income,Poverty_Rate,Race_Category
422173,18L08547,2018-12-22 00:01:00,2018,12,0,22,6G,LARCENY,,UNKNOWN,NORTHEAST,WALTHERSON,ROW/TOWNHOUSE-OCC,39.34282780328499,-76.55016372731957,0.84,0.08,38000,0.24,Black
422174,19A35044,2018-12-22 01:35:00,2018,12,1,22,6D,LARCENY FROM AUTO,,UNKNOWN,SOUTHERN,WASHINGTON VILLAGE/PIGTOWN,UNKNOWN,39.283355203523705,-76.62866832941428,0.48,0.42,42000,0.21,Neither
422253,18L08219,2018-12-22 05:53:00,2018,12,5,22,5A,BURGLARY,,UNKNOWN,NORTHEAST,ORCHARD RIDGE,ROW/TOWNHOUSE-OCC,39.31476187834672,-76.55994775384569,0.63,0.28,52000,0.22,Black
422254,18L35137,2018-12-22 00:00:00,2018,12,0,22,6D,LARCENY FROM AUTO,,UNKNOWN,NORTHERN,HARWOOD,UNKNOWN,39.318756066517444,-76.61265346869122,0.42,0.45,52000,0.15,Neither
422255,18L08179,2018-12-22 01:28:00,2018,12,1,22,3AJF,ROBBERY - CARJACKING,,FIREARM,WESTERN,SANDTOWN-WINCHESTER,STREET,39.305919034364585,-76.64269110821921,0.97,0.01,28500,0.38,Black
422256,18L08286,2018-12-22 10:26:00,2018,12,10,22,4A,AGG. ASSAULT,,FIREARM,SOUTHEAST,HOPKINS BAYVIEW,STREET,39.287659490473935,-76.54743929186115,0.63,0.28,52000,0.22,Black
422257,18L08533,2018-12-22 21:30:00,2018,12,21,22,6D,LARCENY FROM AUTO,,UNKNOWN,SOUTHWEST,BEECHFIELD,STREET,39.27769550004228,-76.69718067189386,0.63,0.28,52000,0.22,Black
422258,18L08466,2018-12-22 22:15:00,2018,12,22,22,4E,COMMON ASSAULT,,UNKNOWN,CENTRAL,BOLTON HILL,APT/CONDO - OCCUPIED,39.30926037878376,-76.62645933103242,0.63,0.28,52000,0.22,Black
422259,18L09180,2018-12-25 18:00:00,2018,12,18,25,4E,COMMON ASSAULT,,UNKNOWN,NORTHEAST,FRANKFORD,APT/CONDO - OCCUPIED,39.32139117419823,-76.55244024578734,0.65,0.22,39000,0.25,Black
422260,18L09244,2018-12-25 23:19:00,2018,12,23,25,4E,COMMON ASSAULT,,UNKNOWN,SOUTHWEST,FRANKLINTOWN,UNKNOWN,39.30769445057307,-76.7061170777554,0.63,0.28,52000,0.22,Black
422261,18L09088,2018-12-25 08:29:00,2018,12,8,25,4E,COMMON ASSAULT,,UNKNOWN,SOUTHWEST,GWYNNS FALLS,STREET,39.27838944222806,-76.66377841211428,0.63,0.28,52000,0.22,Black
