Neighborhood,N_Crimes,Pct_Black,Pct_White,Median_Income,Poverty_Rate,Race_Category
DOWNTOWN,5123,0.32,0.52,62000.0,0.12,White
FRANKFORD,3521,0.65,0.22,39000.0,0.25,Black
BELAIR-EDISON,3211,0.82,0.1,40000.0,0.22,Black
BROOKLYN,3011,0.68,0.2,38000.0,0.25,Black
CANTON,2085,0.05,0.88,82000.0,0.06,White
SANDTOWN-WINCHESTER,2045,0.97,0.01,28500.0,0.38,Black
CHERRY HILL,2032,0.92,0.02,27000.0,0.36,Black
MOUNT VERNON,1917,0.2800000000000001,0.58,55000.0,0.14000000000000004,White
UPTON,1799,0.95,0.020000000000000004,24000.0,0.42,Black
PATTERSON PARK NEIGHBORHOOD,1708,0.18,0.68,60000.0,0.11,White
WASHINGTON VILLAGE/PIGTOWN,1676,0.48000000000000004,0.42,42000.0,0.21,Neither
COLDSTREAM HOMESTEAD MONTEBELLO,1662,0.9199999999999999,0.03,29000.0,0.36,Black
MCELDERRY PARK,1646,0.9,0.04,28500.0,0.36,Black
INNER HARBOR,1630,0.2,0.65,72000.0,0.1,White
HAMILTON HILLS,1625,0.63,0.28,52000.0,0.22,Black
FELLS POINT,1521,0.08,0.7999999999999999,78000.0,0.08,White
CARROLLTON RIDGE,1485,0.63,0.28,52000.0,0.22,Black
MORRELL PARK,1436,0.55,0.32,41000.0,0.22,Black
ELLWOOD PARK/MONUMENT,1379,0.35,0.52,53000.0,0.14,White
BROADWAY EAST,1377,0.93,0.029999999999999995,26000.0,0.4,Black
CENTRAL PARK HEIGHTS,1370,0.9,0.04,33000.0,0.32,Black
MONDAWMIN,1348,0.91,0.03,33000.0,0.31,Black
HAMPDEN,1334,0.1,0.82,62000.0,0.1,White
EAST BALTIMORE MIDWAY,1308,0.93,0.02,26000.0,0.41,Black
RESERVOIR HILL,1240,0.63,0.28,52000.0,0.22,Black
BALTIMORE HIGHLANDS,1219,0.63,0.28,52000.0,0.22,Black
CHARLES VILLAGE,1196,0.18,0.68,52000.0,0.15,White
OLIVER,1191,0.93,0.02,26500.0,0.4,Black
REISTERSTOWN STATION,1149,0.63,0.28,52000.0,0.22,Black
LAKELAND,1118,0.63,0.28,52000.0,0.22,Black
CURTIS BAY,1101,0.45,0.38,35000.0,0.28,Neither
MID-TOWN BELVEDERE,1091,0.63,0.28,52000.0,0.22,Black
HIGHLANDTOWN,1090,0.15,0.65,55000.0,0.14,White
MILLHILL,1065,0.63,0.28,52000.0,0.22,Black
IRVINGTON,1063,0.87,0.06,35000.0,0.29,Black
PENROSE/FAYETTE STREET OUTREACH,1033,0.63,0.28,52000.0,0.22,Black
PENN NORTH,1032,0.63,0.28,52000.0,0.22,Black
PULASKI INDUSTRIAL AREA,1013,0.63,0.28,52000.0,0.22,Black
WALTHERSON,1012,0.84,0.08,38000.0,0.24,Black
BETTER WAVERLY,990,0.78,0.15,42000.0,0.2,Black
HOWARD PARK,986,0.63,0.28,52000.0,0.22,Black
DUNBAR-BROADWAY,985,0.92,0.029999999999999995,27000.0,0.38,Black
HARLEM PARK,944,0.96,0.01,26000.0,0.4,Black
GLENHAM-BELHAR,942,0.63,0.28,52000.0,0.22,Black
WASHINGTON HILL,904,0.63,0.28,52000.0,0.22,Black
CHARLES NORTH,884,0.63,0.28,52000.0,0.22,Black
WOODMERE,870,0.63,0.28,52000.0,0.22,Black
EDNOR GARDENS-LAKESIDE,863,0.6300000000000001,0.28,52000.0,0.22000000000000003,Black
CARE,849,0.93,0.02,26000.0,0.41,Black
GLEN,838,0.6300000000000001,0.28,52000.0,0.22000000000000003,Black
CARROLL - CAMDEN INDUSTRIAL AREA,837,0.6300000000000001,0.28,52000.0,0.22000000000000003,Black
CANTON INDUSTRIAL AREA,836,0.05,0.8799999999999999,82000.0,0.06,White
BEREA,834,0.9,0.04,31000.0,0.33,Black
FRANKLIN SQUARE,834,0.82,0.1,28000.0,0.37,Black
BARCLAY,813,0.6300000000000001,0.28,52000.0,0.22000000000000003,Black
POPPLETON,808,0.9099999999999999,0.03,25000.0,0.41,Black
GREEKTOWN,771,0.12,0.75,59000.0,0.11,White
ALLENDALE,765,0.63,0.28,52000.0,0.22,Black
OLDTOWN,749,0.63,0.28,52000.0,0.22,Black
MADISON PARK,735,0.63,0.28,52000.0,0.21999999999999997,Black
BOLTON HILL,735,0.63,0.28,52000.0,0.21999999999999997,Black
ROSEMONT,733,0.89,0.04,34000.0,0.3,Black
LOCH RAVEN,710,0.5,0.38,57000.0,0.13,Black
UPPER FELLS POINT,707,0.08,0.8,78000.0,0.08,White
WALBROOK,706,0.88,0.05,38000.0,0.25,Black
FEDERAL HILL,702,0.06,0.87,89000.0,0.05,White
JOHNSTON SQUARE,690,0.93,0.03,26000.0,0.4,Black
RIVERSIDE,688,0.63,0.28,52000.0,0.22000000000000003,Black
ARLINGTON,678,0.87,0.06,41000.0,0.22,Black
MIDDLE EAST,666,0.92,0.030000000000000002,25000.0,0.41999999999999993,Black
NEW NORTHWOOD,665,0.45,0.42000000000000004,58000.0,0.13,Neither
CEDMONT,661,0.63,0.28,52000.0,0.21999999999999997,Black
JONESTOWN,652,0.35,0.5,48000.0,0.18,White
MADISON-EASTEND,650,0.95,0.01,25000.0,0.41,Black
NORTH HARFORD ROAD,644,0.63,0.28,52000.0,0.22,Black
DRUID HEIGHTS,618,0.94,0.02,27000.0,0.38,Black
NEW SOUTHWEST/MOUNT CLARE,615,0.63,0.28,52000.0,0.22000000000000003,Black
HOLLINS MARKET,614,0.63,0.28,52000.0,0.22000000000000003,Black
WAVERLY,602,0.78,0.15,42000.0,0.2,Black
HANLON-LONGWOOD,594,0.63,0.28,52000.0,0.22,Black
MILTON-MONTFORD,584,0.9399999999999998,0.02,28000.0,0.37,Black
SHIPLEY HILL,580,0.63,0.28,52000.0,0.22,Black
EDMONDSON VILLAGE,578,0.91,0.03,36000.0,0.28,Black
EDGEWOOD,569,0.63,0.28,52000.0,0.22,Black
COPPIN HEIGHTS/ASH-CO-EAST,565,0.63,0.28,52000.0,0.22,Black
GRACELAND PARK,543,0.63,0.28,52000.0,0.22,Black
BUTCHER'S HILL,537,0.63,0.28,52000.0,0.22,Black
ARMISTEAD GARDENS,534,0.55,0.35,42000.0,0.2,Black
VIOLETVILLE,532,0.63,0.28,52000.0,0.22,Black
DOWNTOWN WEST,529,0.32,0.52,62000.0,0.12,White
GAY STREET,528,0.91,0.04,27500.0,0.37,Black
