City,Year,Month,Mode,N_Total_Black,N_Detected_Black,N_Reported_Black,Det_Rate_Black,N_Total_White,N_Detected_White,N_Reported_White,Det_Rate_White,N_Total_Neither,N_Detected_Neither,N_Reported_Neither,Det_Rate_Neither,DIR,Parity_Gap,Gini,Bias_Score
Baltimore,2017,2,detected,2961,109,1641,0.036812,623,58,347,0.093098,124,0,66,0.0,0.39541,-0.056286,0.477757,-0.03402995
Baltimore,2017,2,reported,2961,96,1553,0.032421,623,34,346,0.054575,124,4,66,0.032258,0.594076,-0.022153,0.124756,-0.00899243
Baltimore,2017,3,detected,3017,118,1625,0.039112,605,98,376,0.161983,105,1,56,0.009524,0.241455,-0.122872,0.482577,-0.09320394
Baltimore,2017,3,reported,3017,95,1598,0.031488,605,18,331,0.029752,105,1,58,0.009524,1.058355,0.001736,0.206926,0.0001013
Baltimore,2017,4,detected,3268,89,1678,0.027234,701,128,434,0.182596,125,0,60,0.0,0.149148,-0.155363,0.58014,-0.13219092
Baltimore,2017,4,reported,3268,148,1767,0.045288,701,66,389,0.094151,125,0,76,0.0,0.48101,-0.048864,0.450143,-0.02535993
Baltimore,2017,5,detected,3617,117,1957,0.032347,767,55,444,0.071708,121,0,63,0.0,0.451097,-0.039361,0.459423,-0.02160537
Baltimore,2017,5,reported,3617,135,1986,0.037324,767,56,433,0.073012,121,1,71,0.008264,0.511202,-0.035688,0.363953,-0.01744422
Baltimore,2017,6,detected,3625,89,1943,0.024552,785,25,413,0.031847,126,0,65,0.0,0.770924,-0.007295,0.376451,-0.00167111
Baltimore,2017,6,reported,3625,122,1922,0.033655,785,76,450,0.096815,126,4,71,0.031746,0.347623,-0.06316,0.267417,-0.04120413
Baltimore,2017,7,detected,3647,105,1963,0.028791,796,22,442,0.027638,129,0,65,0.0,1.041703,0.001153,0.340142,4.808e-05
Baltimore,2017,7,reported,3647,93,1942,0.0255,796,33,413,0.041457,129,0,69,0.0,0.615101,-0.015957,0.412771,-0.00614183
Baltimore,2017,8,detected,3583,93,1886,0.025956,893,22,474,0.024636,142,0,74,0.0,1.053574,0.00132,0.342029,7.072e-05
Baltimore,2017,8,reported,3583,119,1900,0.033212,893,48,483,0.053751,142,13,77,0.091549,0.617889,-0.020539,0.217862,-0.00784818
Baltimore,2017,9,detected,3350,104,1779,0.031045,843,13,446,0.015421,152,0,85,0.0,2.013134,0.015624,0.445413,0.01582921
Baltimore,2017,9,reported,3350,120,1838,0.035821,843,53,450,0.062871,152,0,74,0.0,0.569755,-0.02705,0.424695,-0.01163813
Baltimore,2017,10,detected,3730,94,1953,0.025201,873,12,489,0.013746,128,0,63,0.0,1.833378,0.011455,0.431376,0.00954634
Baltimore,2017,10,reported,3730,89,2024,0.023861,873,31,446,0.03551,128,3,67,0.023438,0.671945,-0.011649,0.097191,-0.00382151
