Parameter,Value,DIR_Black_White
Radius_ft,400.0,0.045259841098104686
Radius_ft,700.0,0.08714140302904749
Radius_ft,1000.0,0.1421597538273707
Radius_ft,1500.0,0.22688324282675634
N_Officers,30.0,7.713143993442424
N_Officers,60.0,0.08373864905161392
N_Officers,90.0,0.12148250521713574
N_Officers,120.0,0.20937717989323706
Reporting_Prob,0.3,0.6118958230220353
Reporting_Prob,0.4,0.4565124723727308
Reporting_Prob,0.521,0.6585491362822187
Reporting_Prob,0.6,0.4016113961497853
Reporting_Prob,0.7,0.7336760683869429
Reporting_Prob,0.8,0.698654973392707
