City,Year,Month,Mode,Race_Category,N_Total,N_Detected,N_Reported,Detection_Rate,Reporting_Rate,N_Officers,Radius_ft,Reporting_Prob
Baltimore,2017,2,detected,Black,2961,109,1641,0.036812,0.554205,60,700,0.521
Baltimore,2017,2,detected,White,623,58,347,0.093098,0.556982,60,700,0.521
Baltimore,2017,2,detected,Neither,124,0,66,0.0,0.532258,60,700,0.521
Baltimore,2017,3,detected,Black,3017,118,1625,0.039112,0.538615,60,700,0.521
Baltimore,2017,3,detected,White,605,98,376,0.161983,0.621488,60,700,0.521
Baltimore,2017,3,detected,Neither,105,1,56,0.009524,0.533333,60,700,0.521
Baltimore,2017,4,detected,Black,3268,89,1678,0.027234,0.513464,60,700,0.521
Baltimore,2017,4,detected,White,701,128,434,0.182596,0.619116,60,700,0.521
Baltimore,2017,4,detected,Neither,125,0,60,0.0,0.48,60,700,0.521
Baltimore,2017,5,detected,Black,3617,117,1957,0.032347,0.541056,60,700,0.521
Baltimore,2017,5,detected,White,767,55,444,0.071708,0.578879,60,700,0.521
Baltimore,2017,5,detected,Neither,121,0,63,0.0,0.520661,60,700,0.521
Baltimore,2017,6,detected,Black,3625,89,1943,0.024552,0.536,60,700,0.521
Baltimore,2017,6,detected,White,785,25,413,0.031847,0.526115,60,700,0.521
Baltimore,2017,6,detected,Neither,126,0,65,0.0,0.515873,60,700,0.521
Baltimore,2017,7,detected,Black,3647,105,1963,0.028791,0.538251,60,700,0.521
Baltimore,2017,7,detected,White,796,22,442,0.027638,0.555276,60,700,0.521
Baltimore,2017,7,detected,Neither,129,0,65,0.0,0.503876,60,700,0.521
Baltimore,2017,8,detected,Black,3583,93,1886,0.025956,0.526375,60,700,0.521
Baltimore,2017,8,detected,White,893,22,474,0.024636,0.530795,60,700,0.521
Baltimore,2017,8,detected,Neither,142,0,74,0.0,0.521127,60,700,0.521
Baltimore,2017,9,detected,Black,3350,104,1779,0.031045,0.531045,60,700,0.521
Baltimore,2017,9,detected,White,843,13,446,0.015421,0.529063,60,700,0.521
Baltimore,2017,9,detected,Neither,152,0,85,0.0,0.559211,60,700,0.521
Baltimore,2017,10,detected,Black,3730,94,1953,0.025201,0.523592,60,700,0.521
Baltimore,2017,10,detected,White,873,12,489,0.013746,0.560137,60,700,0.521
Baltimore,2017,10,detected,Neither,128,0,63,0.0,0.492188,60,700,0.521
Baltimore,2017,11,detected,Black,3331,77,1714,0.023116,0.51456,60,700,0.521
Baltimore,2017,11,detected,White,669,13,373,0.019432,0.557549,60,700,0.521
Baltimore,2017,11,detected,Neither,130,0,63,0.0,0.484615,60,700,0.521
Baltimore,2017,12,detected,Black,3241,88,1773,0.027152,0.547053,60,700,0.521
Baltimore,2017,12,detected,White,639,13,341,0.020344,0.533646,60,700,0.521
Baltimore,2017,12,detected,Neither,117,0,51,0.0,0.435897,60,700,0.521
Baltimore,2017,2,reported,Black,2961,96,1553,0.032421,0.524485,60,700,0.521
Baltimore,2017,2,reported,White,623,34,346,0.054575,0.555377,60,700,0.521
Baltimore,2017,2,reported,Neither,124,4,66,0.032258,0.532258,60,700,0.521
Baltimore,2017,3,reported,Black,3017,95,1598,0.031488,0.529665,60,700,0.521
Baltimore,2017,3,reported,White,605,18,331,0.029752,0.547107,60,700,0.521
Baltimore,2017,3,reported,Neither,105,1,58,0.009524,0.552381,60,700,0.521
Baltimore,2017,4,reported,Black,3268,148,1767,0.045288,0.540698,60,700,0.521
Baltimore,2017,4,reported,White,701,66,389,0.094151,0.554922,60,700,0.521
Baltimore,2017,4,reported,Neither,125,0,76,0.0,0.608,60,700,0.521
Baltimore,2017,5,reported,Black,3617,135,1986,0.037324,0.549074,60,700,0.521
Baltimore,2017,5,reported,White,767,56,433,0.073012,0.564537,60,700,0.521
Baltimore,2017,5,reported,Neither,121,1,71,0.008264,0.586777,60,700,0.521
Baltimore,2017,6,reported,Black,3625,122,1922,0.033655,0.530207,60,700,0.521
Baltimore,2017,6,reported,White,785,76,450,0.096815,0.573248,60,700,0.521
Baltimore,2017,6,reported,Neither,126,4,71,0.031746,0.563492,60,700,0.521
Baltimore,2017,7,reported,Black,3647,93,1942,0.0255,0.532492,60,700,0.521
Baltimore,2017,7,reported,White,796,33,413,0.041457,0.518844,60,700,0.521
Baltimore,2017,7,reported,Neither,129,0,69,0.0,0.534884,60,700,0.521
Baltimore,2017,8,reported,Black,3583,119,1900,0.033212,0.530282,60,700,0.521
Baltimore,2017,8,reported,White,893,48,483,0.053751,0.540873,60,700,0.521
Baltimore,2017,8,reported,Neither,142,13,77,0.091549,0.542254,60,700,0.521
Baltimore,2017,9,reported,Black,3350,120,1838,0.035821,0.548657,60,700,0.521
Baltimore,2017,9,reported,White,843,53,450,0.062871,0.533808,60,700,0.521
Baltimore,2017,9,reported,Neither,152,0,74,0.0,0.486842,60,700,0.521
Baltimore,2017,10,reported,Black,3730,89,2024,0.023861,0.542627,60,700,0.521
Baltimore,2017,10,reported,White,873,31,446,0.03551,0.510882,60,700,0.521
Baltimore,2017,10,reported,Neither,128,3,67,0.023438,0.523438,60,700,0.521
Baltimore,2017,11,reported,Black,3331,78,1753,0.023416,0.526268,60,700,0.521
Baltimore,2017,11,reported,White,669,21,367,0.03139,0.54858,60,700,0.521
Baltimore,2017,11,reported,Neither,130,0,67,0.0,0.515385,60,700,0.521
Baltimore,2017,12,reported,Black,3241,96,1743,0.02962,0.537797,60,700,0.521
Baltimore,2017,12,reported,White,639,36,343,0.056338,0.536776,60,700,0.521
Baltimore,2017,12,reported,Neither,117,8,74,0.068376,0.632479,60,700,0.521
Baltimore,2018,2,detected,Black,2412,85,1244,0.03524,0.515755,60,700,0.521
Baltimore,2018,2,detected,White,563,38,323,0.067496,0.573712,60,700,0.521
Baltimore,2018,2,detected,Neither,97,1,54,0.010309,0.556701,60,700,0.521
Baltimore,2018,3,detected,Black,2733,51,1413,0.018661,0.517014,60,700,0.521
Baltimore,2018,3,detected,White,603,66,340,0.109453,0.563847,60,700,0.521
Baltimore,2018,3,detected,Neither,99,0,46,0.0,0.464646,60,700,0.521
Baltimore,2018,4,detected,Black,2942,28,1550,0.009517,0.526852,60,700,0.521
Baltimore,2018,4,detected,White,661,124,396,0.187595,0.599092,60,700,0.521
Baltimore,2018,4,detected,Neither,131,0,70,0.0,0.534351,60,700,0.521
Baltimore,2018,5,detected,Black,3209,69,1738,0.021502,0.541602,60,700,0.521
Baltimore,2018,5,detected,White,802,219,515,0.273067,0.642145,60,700,0.521
Baltimore,2018,5,detected,Neither,129,0,64,0.0,0.496124,60,700,0.521
Baltimore,2018,6,detected,Black,3117,24,1593,0.0077,0.511068,60,700,0.521
Baltimore,2018,6,detected,White,797,169,487,0.212045,0.611041,60,700,0.521
Baltimore,2018,6,detected,Neither,101,0,52,0.0,0.514851,60,700,0.521
Baltimore,2018,7,detected,Black,3233,1,1645,0.000309,0.508815,60,700,0.521
Baltimore,2018,7,detected,White,868,181,540,0.208525,0.62212,60,700,0.521
Baltimore,2018,7,detected,Neither,120,0,61,0.0,0.508333,60,700,0.521
Baltimore,2018,8,detected,Black,3456,0,1831,0.0,0.529803,60,700,0.521
Baltimore,2018,8,detected,White,880,108,512,0.122727,0.581818,60,700,0.521
Baltimore,2018,8,detected,Neither,149,0,74,0.0,0.496644,60,700,0.521
Baltimore,2018,9,detected,Black,3179,2,1644,0.000629,0.517144,60,700,0.521
Baltimore,2018,9,detected,White,833,113,478,0.135654,0.57383,60,700,0.521
Baltimore,2018,9,detected,Neither,128,0,59,0.0,0.460938,60,700,0.521
Baltimore,2018,10,detected,Black,3420,0,1794,0.0,0.524561,60,700,0.521
Baltimore,2018,10,detected,White,956,117,570,0.122385,0.596234,60,700,0.521
Baltimore,2018,10,detected,Neither,130,0,78,0.0,0.6,60,700,0.521
Baltimore,2018,11,detected,Black,3200,0,1694,0.0,0.529375,60,700,0.521
Baltimore,2018,11,detected,White,795,90,445,0.113208,0.559748,60,700,0.521
Baltimore,2018,11,detected,Neither,131,0,54,0.0,0.412214,60,700,0.521
Baltimore,2018,12,detected,Black,3335,0,1687,0.0,0.505847,60,700,0.521
Baltimore,2018,12,detected,White,791,83,457,0.10493,0.57775,60,700,0.521
Baltimore,2018,12,detected,Neither,139,0,73,0.0,0.52518,60,700,0.521
Baltimore,2018,2,reported,Black,2412,102,1292,0.042289,0.535655,60,700,0.521
Baltimore,2018,2,reported,White,563,55,322,0.097691,0.571936,60,700,0.521
Baltimore,2018,2,reported,Neither,97,2,56,0.020619,0.57732,60,700,0.521
Baltimore,2018,3,reported,Black,2733,65,1445,0.023783,0.528723,60,700,0.521
