Neighborhood,Crime_Rate,Pct_Black,Pct_White,Median_Income,Poverty_Rate,Race_Category,Det_Rate
ABELL,349,0.19999999999999998,0.68,58000.0,0.11999999999999998,White,0.07300000000000001
ALLENDALE,765,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
ARCADIA,158,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
ARLINGTON,678,0.87,0.06,41000.0,0.22,Black,0.020633333333333333
ARMISTEAD GARDENS,534,0.55,0.35,42000.0,0.2,Black,0.020633333333333333
ASHBURTON,369,0.63,0.28,52000.0,0.22000000000000003,Black,0.020633333333333333
BALTIMORE HIGHLANDS,1219,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
BARCLAY,813,0.6300000000000001,0.28,52000.0,0.22000000000000003,Black,0.020633333333333333
BARRE CIRCLE,128,0.65,0.25,45000.0,0.18,Black,0.020633333333333333
BAYVIEW,385,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
BEECHFIELD,473,0.63,0.2800000000000001,52000.0,0.22,Black,0.020633333333333333
BELAIR-EDISON,3211,0.82,0.1,40000.0,0.22,Black,0.020633333333333333
BELAIR-PARKSIDE,85,0.83,0.1,43000.0,0.18999999999999997,Black,0.020633333333333333
BELLONA-GITTINGS,27,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
BELVEDERE,143,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
BEREA,834,0.9,0.04,31000.0,0.33,Black,0.020633333333333333
BETTER WAVERLY,990,0.78,0.15,42000.0,0.2,Black,0.020633333333333333
BEVERLY HILLS,97,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
BIDDLE STREET,265,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
BLYTHEWOOD,5,0.63,0.28,52000.0,0.22000000000000003,Black,0.020633333333333333
BOLTON HILL,735,0.63,0.28,52000.0,0.21999999999999997,Black,0.020633333333333333
BOYD-BOOTH,226,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
BREWERS HILL,347,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
BRIDGEVIEW/GREENLAWN,506,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
BROADWAY EAST,1377,0.93,0.029999999999999995,26000.0,0.4,Black,0.020633333333333333
BROENING MANOR,374,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
BROOKLYN,3011,0.68,0.2,38000.0,0.25,Black,0.020633333333333333
BURLEITH-LEIGHTON,136,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
BUTCHER'S HILL,537,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
CALLAWAY-GARRISON,340,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
CAMERON VILLAGE,252,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
CANTON,2085,0.05,0.88,82000.0,0.06,White,0.07300000000000001
CANTON INDUSTRIAL AREA,836,0.05,0.8799999999999999,82000.0,0.06,White,0.07300000000000001
CARE,849,0.93,0.02,26000.0,0.41,Black,0.020633333333333333
CARROLL - CAMDEN INDUSTRIAL AREA,837,0.6300000000000001,0.28,52000.0,0.22000000000000003,Black,0.020633333333333333
CARROLL PARK,124,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
CARROLL-SOUTH HILTON,380,0.63,0.28,52000.0,0.21999999999999997,Black,0.020633333333333333
CARROLLTON RIDGE,1485,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
CEDARCROFT,68,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
CEDMONT,661,0.63,0.28,52000.0,0.21999999999999997,Black,0.020633333333333333
CEDONIA,358,0.72,0.18,47000.0,0.16,Black,0.020633333333333333
CENTRAL FOREST PARK,275,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
CENTRAL PARK HEIGHTS,1370,0.9,0.04,33000.0,0.32,Black,0.020633333333333333
CHARLES NORTH,884,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
CHARLES VILLAGE,1196,0.18,0.68,52000.0,0.15,White,0.07300000000000001
CHERRY HILL,2032,0.92,0.02,27000.0,0.36,Black,0.020633333333333333
CHESWOLDE,326,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
CHINQUAPIN PARK,170,0.41999999999999993,0.45,56000.0,0.14,Neither,0.015400000000000002
CLIFTON PARK,304,0.89,0.05,31000.0,0.33,Black,0.020633333333333333
COLDSPRING,214,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
COLDSTREAM HOMESTEAD MONTEBELLO,1662,0.9199999999999999,0.03,29000.0,0.36,Black,0.020633333333333333
CONCERNED CITIZENS OF FOREST PARK,236,0.9,0.04,30000.0,0.34,Black,0.020633333333333333
COPPIN HEIGHTS/ASH-CO-EAST,565,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
CROSS COUNTRY,317,0.63,0.28,52000.0,0.21999999999999997,Black,0.020633333333333333
CROSS KEYS,83,0.63,0.28,52000.0,0.22000000000000003,Black,0.020633333333333333
CURTIS BAY,1101,0.45,0.38,35000.0,0.28,Neither,0.015400000000000002
CURTIS BAY INDUSTRIAL AREA,35,0.45,0.38,35000.0,0.28,Neither,0.015400000000000002
